cont_id,distance,relationship,setting,location_multi,location_fine_multi
20646,Between 1 and 2 meters,Friend or acquaintance,indoor,Home,Home
20647,Between 1 and 2 meters,Friend or acquaintance,indoor,Home,Home
20648,Between 1 and 2 meters,Non-cohabitant relative/family member,outdoor,Home,Home
20649,More than 2 meters,Friend or acquaintance,indoor,Home,Home
20650,Pyshical contact,Cohabitant,indoor,Home,Cohabitant
20651,Pyshical contact,Friend or acquaintance,outdoor,Home,Home
20652,Pyshical contact,Friend or acquaintance,outdoor,Other,Otheroutdoor
20653,Pyshical contact,Friend or acquaintance,outdoor,Other,Otheroutdoor
20654,Between 1 and 2 meters,Cohabitant,indoor,Home,Cohabitant
20655,Between 1 and 2 meters,Cohabitant,indoor,Home,Cohabitant
20656,More than 2 meters,Other,indoor,Other,Shopping
20657,More than 2 meters,Non-cohabitant relative/family member,indoor,Leisure,Homeguest
20658,More than 2 meters,Other,indoor,Other,Shopping
20659,More than 2 meters,Other,indoor,Other,Shopping
20660,More than 2 meters,Other,indoor,Other,Shopping
20661,Pyshical contact,Cohabitant,indoor,Home,Cohabitant
20662,Between 1 and 2 meters,Non-cohabitant relative/family member,indoor,Leisure,Homeguest
20663,Pyshical contact,Non-cohabitant relative/family member,indoor,Leisure,Homeguest
20664,Pyshical contact,Friend or acquaintance,outdoor,Home,Home
20665,Pyshical contact,Cohabitant,indoor,Home,Cohabitant
20666,More than 2 meters,Cohabitant,indoor,Home,Cohabitant
20667,Between 1 and 2 meters,Other,outdoor,Leisure,Restaurant
20668,Between 1 and 2 meters,Other,indoor,Leisure,Restaurant
20669,Between 1 and 2 meters,Cohabitant,indoor,Home,Cohabitant
20670,Between 1 and 2 meters,Friend or acquaintance,indoor,Home,Home
20671,Between 1 and 2 meters,Non-cohabitant relative/family member,indoor,Leisure,Homeguest
20672,Pyshical contact,Cohabitant,indoor,Home,Cohabitant
20673,Pyshical contact,Cohabitant,indoor,Home,Cohabitant
20674,Pyshical contact,Cohabitant,indoor,Home,Cohabitant
20675,Pyshical contact,Cohabitant,indoor,Home,Cohabitant
20676,Pyshical contact,Cohabitant,indoor,Home,Home
20677,Pyshical contact,Cohabitant,indoor,Home,Cohabitant
20678,Pyshical contact,Cohabitant,indoor,Home,Home
20679,Pyshical contact,Non-cohabitant relative/family member,indoor,Home,Home
20680,Pyshical contact,Coworker,indoor,Home,Home
20681,Pyshical contact,Coworker,indoor,Home,Home
20682,Pyshical contact,Non-cohabitant relative/family member,indoor,Home,Home
20683,Pyshical contact,Other,indoor,Home,Home
20684,Less than 1 meter,School/college mate,indoor,Leisure,Restaurant
20685,Less than 1 meter,Friend or acquaintance,outdoor,Leisure,Homeguest
20686,Pyshical contact,Cohabitant,indoor,Home,Cohabitant
20687,Pyshical contact,Cohabitant,indoor,Home,Cohabitant
20688,Pyshical contact,Cohabitant,indoor,Home,Cohabitant
20689,Pyshical contact,Non-cohabitant relative/family member,indoor,Other,Shopping
20690,Pyshical contact,Cohabitant,indoor,Home,Cohabitant
20691,Pyshical contact,Coworker,indoor,Home,Home
20692,Pyshical contact,Friend or acquaintance,indoor,Home,Home
20693,Pyshical contact,Non-cohabitant relative/family member,indoor,Other,Shopping
20694,Between 1 and 2 meters,Cohabitant,indoor,Home,Cohabitant
20695,Between 1 and 2 meters,Non-cohabitant relative/family member,indoor,Home,Home
20696,Pyshical contact,Cohabitant,indoor,Home,Cohabitant
20697,Pyshical contact,Cohabitant,indoor,Home,Cohabitant
20698,Between 1 and 2 meters,Non-cohabitant relative/family member,indoor,Home,Home
20699,Between 1 and 2 meters,Non-cohabitant relative/family member,indoor,Home,Home
20700,More than 2 meters,Other,outdoor,Other,Otheroutdoor
20701,More than 2 meters,Other,outdoor,Other,Otheroutdoor
20702,Between 1 and 2 meters,Friend or acquaintance,indoor,Leisure,Restaurant
20703,Between 1 and 2 meters,Friend or acquaintance,indoor,Leisure,Restaurant
20704,Pyshical contact,Non-cohabitant relative/family member,indoor,Leisure,Restaurant
20705,Pyshical contact,Non-cohabitant relative/family member,indoor,Leisure,Restaurant
20706,Pyshical contact,Cohabitant,indoor,Home,Cohabitant
20707,Pyshical contact,Friend or acquaintance,indoor,Other,Otherindoor
20708,Pyshical contact,Friend or acquaintance,indoor,Home,Home
20709,Pyshical contact,Friend or acquaintance,indoor,Home,Home
20710,Pyshical contact,Friend or acquaintance,indoor,Leisure,Leisure
20711,Pyshical contact,Friend or acquaintance,indoor,Leisure,Leisure
20712,Pyshical contact,Cohabitant,indoor,Home,Home
20713,Pyshical contact,Friend or acquaintance,indoor,Leisure,Leisure
20714,Pyshical contact,Friend or acquaintance,indoor,Leisure,Leisure
20715,Pyshical contact,Friend or acquaintance,indoor,Leisure,Leisure
20716,Pyshical contact,Friend or acquaintance,indoor,Leisure,Leisure
20717,Pyshical contact,Friend or acquaintance,indoor,Leisure,Leisure
20718,Pyshical contact,Friend or acquaintance,indoor,Leisure,Leisure
20719,Pyshical contact,Friend or acquaintance,indoor,Leisure,Leisure
20720,Pyshical contact,Friend or acquaintance,indoor,Leisure,Leisure
20721,Pyshical contact,Friend or acquaintance,outdoor,Leisure,Homeguest
20722,Pyshical contact,Friend or acquaintance,indoor,Home,Home
20723,Pyshical contact,Friend or acquaintance,indoor,Home,Home
20724,Pyshical contact,Friend or acquaintance,outdoor,Leisure,Homeguest
20725,Pyshical contact,Friend or acquaintance,indoor,Home,Home
20726,Pyshical contact,Cohabitant,indoor,Home,Cohabitant
20727,Pyshical contact,Cohabitant,indoor,Home,Cohabitant
20728,Pyshical contact,Other,indoor,Home,Home
20729,Pyshical contact,Other,indoor,Home,Home
20730,Less than 1 meter,Friend or acquaintance,indoor,Home,Home
20731,Less than 1 meter,Non-cohabitant relative/family member,indoor,Home,Home
20732,Less than 1 meter,Non-cohabitant relative/family member,indoor,Home,Home
20733,Less than 1 meter,Friend or acquaintance,indoor,Home,Home
20734,Less than 1 meter,Non-cohabitant relative/family member,indoor,Home,Home
20735,Pyshical contact,Cohabitant,indoor,Home,Home
20736,Pyshical contact,Cohabitant,indoor,Home,Cohabitant
20737,Less than 1 meter,Cohabitant,indoor,Home,Home
20738,Less than 1 meter,Cohabitant,indoor,Home,Cohabitant
20739,Pyshical contact,Cohabitant,outdoor,Transport,Transport
20740,Less than 1 meter,Cohabitant,indoor,Home,Home
20741,Less than 1 meter,Friend or acquaintance,outdoor,Other,Shopping
20742,Pyshical contact,Cohabitant,indoor,Home,Home
20743,Less than 1 meter,Friend or acquaintance,outdoor,Leisure,Restaurant
20744,Less than 1 meter,Coworker,outdoor,Leisure,Homeguest
20745,Pyshical contact,Coworker,indoor,Work,Work
20746,Pyshical contact,Coworker,indoor,Work,Work
20747,,Other,outdoor,Other,Otheroutdoor
20748,Pyshical contact,Cohabitant,indoor,Home,Home
20749,Pyshical contact,Cohabitant,indoor,Home,Home
20750,Less than 1 meter,Cohabitant,indoor,Home,Home
20751,Pyshical contact,Other,indoor,Other,Otherindoor
20752,Pyshical contact,Cohabitant,indoor,Home,Cohabitant
20753,Less than 1 meter,Non-cohabitant relative/family member,indoor,Home,Home
20754,Less than 1 meter,Other,indoor,Other,Shopping
20755,Pyshical contact,Non-cohabitant relative/family member,indoor,Home,Home
20756,Less than 1 meter,Friend or acquaintance,indoor,Home,Home
20757,Less than 1 meter,Friend or acquaintance,indoor,Home,Home
20758,Less than 1 meter,Cohabitant,outdoor,Home,Cohabitant
20759,Less than 1 meter,Non-cohabitant relative/family member,indoor,Home,Home
20760,Pyshical contact,Cohabitant,indoor,Home,Cohabitant
20761,Pyshical contact,Cohabitant,indoor,Home,Cohabitant
20762,More than 2 meters,Other,indoor,Work,Work
20763,Between 1 and 2 meters,Other,indoor,Work,Work
20764,More than 2 meters,Other,outdoor,Leisure,Restaurant
20765,More than 2 meters,Other,indoor,Work,Work
20766,Pyshical contact,Cohabitant,indoor,Home,Cohabitant
20767,Pyshical contact,Friend or acquaintance,outdoor,Home,Home
20768,Pyshical contact,Friend or acquaintance,outdoor,Home,Home
20769,Pyshical contact,Friend or acquaintance,outdoor,Home,Home
20770,Pyshical contact,Friend or acquaintance,outdoor,Home,Home
20771,Less than 1 meter,Friend or acquaintance,indoor,Other,Shopping
20772,Pyshical contact,Friend or acquaintance,outdoor,Home,Home
20773,Less than 1 meter,Other,indoor,Home,Home
20774,Pyshical contact,Cohabitant,indoor,Home,Cohabitant
20775,Less than 1 meter,Other,indoor,Home,Home
20776,Between 1 and 2 meters,Other,indoor,Other,Shopping
20777,Pyshical contact,Other,indoor,Other,Shopping
20778,Less than 1 meter,Other,indoor,Home,Home
20779,Between 1 and 2 meters,Other,indoor,Other,Shopping
20780,Pyshical contact,Friend or acquaintance,indoor,Home,Home
20781,Pyshical contact,Friend or acquaintance,indoor,Other,Otherindoor
20782,Pyshical contact,Friend or acquaintance,indoor,Home,Home
20783,Pyshical contact,Other,indoor,Home,Home
20784,Pyshical contact,Cohabitant,indoor,Home,Cohabitant
20785,Pyshical contact,Friend or acquaintance,indoor,Other,Otherindoor
20786,Between 1 and 2 meters,Coworker,indoor,Work,Work
20787,Less than 1 meter,Other,indoor,Leisure,Restaurant
20788,Between 1 and 2 meters,Coworker,indoor,Work,Work
20789,More than 2 meters,Coworker,indoor,Work,Work
20790,More than 2 meters,Coworker,indoor,Work,Work
20791,Between 1 and 2 meters,Coworker,indoor,Work,Work
20792,Pyshical contact,Non-cohabitant relative/family member,indoor,Home,Home
20793,Pyshical contact,Friend or acquaintance,indoor,Home,Home
20794,Pyshical contact,Friend or acquaintance,indoor,Leisure,Homeguest
20795,Pyshical contact,Friend or acquaintance,outdoor,Leisure,Homeguest
20796,Pyshical contact,Cohabitant,indoor,Home,Cohabitant
20797,Pyshical contact,Friend or acquaintance,outdoor,Leisure,Leisure
20798,Between 1 and 2 meters,Other,indoor,Other,Shopping
20799,Pyshical contact,Cohabitant,indoor,Home,Cohabitant
20800,Pyshical contact,Friend or acquaintance,indoor,Transport,Transport
20801,Between 1 and 2 meters,Friend or acquaintance,outdoor,Leisure,Homeguest
